Genre,Indicative Word,Weight
Action,agent,2.7685025610857106
Action,cop,2.099578568213885
Action,assassin,1.9126942467127468
Action,terrorist,1.8005174395355354
Action,cia,1.7919707940472298
Action,ruthless,1.779816726661391
Action,criminal,1.612025250568415
Action,fight,1.5562370768742744
Action,target,1.5406203553090927
Action,battle,1.5243819765167215
Adventure,the,2.3334536411752347
Adventure,adventure,2.248487488310601
Adventure,bond,1.7263464310458192
Adventure,power,1.587770654809275
Adventure,earth,1.5548105437487276
Adventure,dinosaur,1.5516478514366436
Adventure,save,1.487314453425242
Adventure,dragon,1.4434329685508807
Adventure,world,1.3862333913704676
Adventure,ship,1.3670264965268608
Animation,adventure,2.3438569591364358
Animation,human,1.7141921270437932
Animation,dragon,1.4940694157746648
Animation,world,1.4528131094834802
Animation,animated,1.411757723437411
Animation,dinosaur,1.3046938855750665
Animation,where,1.2576794922698051
Animation,the,1.2499874780917233
Animation,old,1.189218564372688
Animation,animal,1.1806470426783984
Comedy,comedy,2.2891501377778476
Comedy,when,1.7799014826100954
Comedy,big,1.753900697887666
Comedy,friend,1.4421798075073156
Comedy,head,1.4150388579885684
Comedy,wedding,1.4038090714630855
Comedy,rock,1.3785375844166945
Comedy,show,1.3624538663438004
Comedy,plan,1.221668551754818
Comedy,girlfriend,1.1608936770129836
Crime,police,2.7495281732074166
Crime,cop,2.6240026503314633
Crime,fbi,2.435337708685614
Crime,murder,2.1096758634435067
Crime,drug,1.9084243403873231
Crime,detective,1.8637850227319894
Crime,agent,1.7479160742233444
Crime,crime,1.6777712905704847
Crime,killer,1.6384503079048325
Crime,law,1.6320810733598836
Documentary,documentary,1.2075255179181001
Documentary,jackass,0.8826036252132298
Documentary,interview,0.8734991666890932
Documentary,tour,0.8240612667928212
Documentary,iraq,0.7886847544135003
Documentary,compilation,0.7391402604491623
Documentary,michael,0.7049730687115319
Documentary,nice,0.6660105163834606
Documentary,whose,0.665113483579883
Documentary,filmed,0.6560373192364474
Drama,story,2.488837584979133
Drama,life,2.0753206086573157
Drama,wa,1.9264436285948168
Drama,love,1.6720168670953683
Drama,struggle,1.5866413336916738
Drama,family,1.5431610815128483
Drama,his,1.3897937491450385
Drama,change,1.3425681195002672
Drama,career,1.336557270681882
Drama,during,1.3322676461932321
Family,adventure,2.367571630527451
Family,dog,2.0516601797566234
Family,save,1.8151434191133546
Family,boy,1.808737938793589
Family,the,1.62762973737675
Family,world,1.4498853046676896
Family,all,1.4214145884060607
Family,animal,1.3638837643394426
Family,dinosaur,1.3133717347585907
Family,land,1.2834704058860524
Fantasy,evil,2.627602797632852
Fantasy,vampire,2.274713057311131
Fantasy,power,2.003883762259878
Fantasy,king,1.9127278861852344
Fantasy,ancient,1.8840764089511743
Fantasy,magic,1.720111421123606
Fantasy,dragon,1.6649603326022777
Fantasy,world,1.6166116742601053
Fantasy,century,1.439415320131313
Fantasy,peter,1.4078615294741115
Fiction,alien,3.3790752553045302
Fiction,planet,3.337263795003709
Fiction,earth,2.8952979804648353
Fiction,the,2.2749310907603837
Fiction,space,2.199705901998873
Fiction,future,2.0926223029323476
Fiction,robot,1.8613785187868057
Fiction,scientist,1.8608192904807028
Fiction,human,1.7882495331136599
Fiction,virus,1.488797047024174
Foreign,film,0.7773087915534148
Foreign,director,0.6286173758964851
Foreign,widow,0.5546933265619187
Foreign,son,0.5543180788197298
Foreign,visa,0.5213865794106071
Foreign,noble,0.5203629720003801
Foreign,juan,0.5156074787125678
Foreign,mill,0.4996501029500167
Foreign,eternal,0.4659218543326008
Foreign,family,0.4640068412924588
History,the,2.776186007352995
History,war,2.513375108333365
History,army,1.6278148410079967
History,iraq,1.3732885553814111
History,story,1.3062040927644238
History,china,1.2419410756021716
History,during,1.2240211061982964
History,soldier,1.1956452178675765
History,queen,1.1350780159855849
History,wa,1.0923722460890979
Horror,vampire,2.7786951287281494
Horror,zombie,2.225369201099756
Horror,horror,2.0693677267506705
Horror,creature,1.912996743942099
Horror,dead,1.714812356959199
Horror,group,1.6163043355316669
Horror,mysterious,1.5679034811476178
Horror,supernatural,1.4027411221661024
Horror,mystery,1.3381690596289635
Horror,hunter,1.3278937674619828
Movie,teenage,0.370289251454046
Movie,worked,0.35433108726016954
Movie,ever,0.28925808428104705
Movie,dating,0.2870605900258506
Movie,spy,0.2828690923387573
Movie,mexico,0.28054806306691527
Movie,daughter,0.27561990722315954
Movie,service,0.2740829309729788
Movie,maneating,0.2669651744129251
Movie,hurricane,0.26651293379171576
Music,musical,2.928347779946354
Music,music,2.2175847629660645
Music,band,1.5552166441390596
Music,singer,1.539296895676758
Music,show,1.518086266011255
Music,dancer,1.2913105961713875
Music,club,1.161710446690949
Music,dance,1.1209679988936718
Music,singing,1.045017679913593
Music,rock,1.0062238920115194
Mystery,clue,1.9809096179688501
Mystery,murder,1.7246747256784691
Mystery,killer,1.5210933722642153
